UID,other_commodities
elderly-antinuclear-activist-nun-breaks-into-a-government-complex-to-expose-nuclear-crimes-in-tennessee-usa,Nuclear bombs
toxic-waste-dumping-in-abidjan-ivory-coast,"Waste from caustic washing of coker naphta (unrefined petroleum),
Sodium Hydroxide"
toxic-waste-dumping-in-abidjan-ivory-coast,Mercaptides
toxic-waste-dumping-in-abidjan-ivory-coast,Sulphides
toxic-waste-dumping-in-abidjan-ivory-coast,Phenolates
toxic-waste-dumping-in-abidjan-ivory-coast,Organochlorines and Organic Chemicals such as Benzene
toxic-waste-dumping-in-abidjan-ivory-coast,Xylenes and Toluen. 
nuclear-accident-severodvinsk-russia, Isotopes of strontium
nuclear-accident-severodvinsk-russia,barium and lanthanum
beaver-lake-cree-nation-vs-canada-and-alberta,Bitumen
the-arctic-railway-project-through-sami-territory-from-finland-to-norway,Transport of minerals
the-arctic-railway-project-through-sami-territory-from-finland-to-norway,fish products
the-arctic-railway-project-through-sami-territory-from-finland-to-norway,forestry products and other natural resources and goods
nuclear-weapons-test-site-novaya-zemlya-arctic-russia,Nuclear hydrogen bomb
winning-the-energy-debate-in-victoria-vret,Renewable energy
children-get-lead-poisoning-from-wugang-manganese-smelting-factory-in-china,Manganese
bastar-conflict-chhattisgarh-india,Pine (Pinus caribaea)
land-and-livelihood-conflicts-in-bhitarkanika-wildlife-sanctuary-odisha-india,Turtles
british-nuclear-tests-at-maralinga,Radioactive plutonium; TNT is trinitrotoluene
british-nuclear-tests-at-maralinga,an explosive chemical compound
haida-gwai-forresty-dispute,Trees
haida-gwai-forresty-dispute,especially cedar.
phosphate-mining-on-nauru,Phosphate 
srae-roneam-village-against-illegal-loggin,rosewood
open-cast-mining-at-sefateng-chrome-mine-in-limpopo-south-africa,Chrome
mining-of-white-clay-or-china-clay-netrokona-district-in-the-northern-part-of-bangladesh,White Clay
mining-of-white-clay-or-china-clay-netrokona-district-in-the-northern-part-of-bangladesh,also known as China clay or kaolin
port-colborne-class-action-lawsuit-against-vale,Nickel
port-colborne-class-action-lawsuit-against-vale,electrocobalt
the-eucalyptus-plantations-in-sao-luiz-do-paraitinga-sao-paulo-brazil,Paper mills
la-lucha-del-pueblo-shuar-arutam-psha-contra-solaris-resources,Molybdenum
red-hill-underground-fuel-storage-facility-jet-fuel-leak,jet fuel
noccioleti-a-viterbo,Avellanas
vasove-vode-illegal-landfill-montenegro,Medical waste
oil-pipeline-and-refinery-in-balboa-extremadura-spain,"Diesel Oil
Sulfur
Coke
Kerosene"
saugeen-ojibway-nation-vote-no-against-the-building-of-an-underground-nuclear-waste-storage-facility-near-lake-huron-ontario,Low and Intermediate level radioative nuclear waste.
puerto-petaca-bahia-de-taganga-colombia,Construcción Del Puerto Petaca
from-church-grounds-to-a-quarry-hundreds-of-roma-were-evicted-twice-from-their-settlement-nearby-oslo-norway,Axinite-(Mn)
from-church-grounds-to-a-quarry-hundreds-of-roma-were-evicted-twice-from-their-settlement-nearby-oslo-norway,Bustamite
from-church-grounds-to-a-quarry-hundreds-of-roma-were-evicted-twice-from-their-settlement-nearby-oslo-norway,Fluorapophyllite-(K)
from-church-grounds-to-a-quarry-hundreds-of-roma-were-evicted-twice-from-their-settlement-nearby-oslo-norway,Grossular
from-church-grounds-to-a-quarry-hundreds-of-roma-were-evicted-twice-from-their-settlement-nearby-oslo-norway,Molybdenite
from-church-grounds-to-a-quarry-hundreds-of-roma-were-evicted-twice-from-their-settlement-nearby-oslo-norway,Scheelite
from-church-grounds-to-a-quarry-hundreds-of-roma-were-evicted-twice-from-their-settlement-nearby-oslo-norway,Vesuvianite
nnpc-pipeline-pollutes-groundwater-in-abesan,petroleum products
mondi-merebank-multifuel-boiler-in-durban-south-africa,Paper
norra-karr-norra-karr-sweden-mining-conflict,Zirconium
relleno-sanitario-landfill-el-carrasco-bucaramanga-colombia,Relleno sanitario (landfill)
canadian-farmers-struggle-to-keep-using-traditional-seeds-varieties,Seeds
san-idelfonso-ixtahuacan,antimonio; tungsteno
first-critical-mass-san-francisco-history-of-an-organized-coincidence-a-celebration-and-protest,Disproportionate use of urban space by cars. The commodity casing the conflict is cars
first-critical-mass-san-francisco-history-of-an-organized-coincidence-a-celebration-and-protest,and urban planning at the service of the cars.
protest-against-heavy-pollution-from-russian-nickel-plant-kirkenes-norway,Nickel
french-nuclear-tests-in-polynesia,Nuclear tests
metropolitan-park-at-the-former-hellinikon-international-airport-and-the-coastal-front-of-agkosmas-in-athens,Urban open spaces; Green urban spaces 
sunocos-mariner-east-2-pipeline-in-pennsylvania,Liquid natural gases: propane
sunocos-mariner-east-2-pipeline-in-pennsylvania,ethane
sunocos-mariner-east-2-pipeline-in-pennsylvania,and butane
highway-threatens-old-oak-tree-savinac-serbia,Transport infrastructure 
plan-especial-de-proteccion-y-reforma-interior-pepri-en-cabanyal-canyamelar-cap-de-franc-valenciaa,Viviendas
granja-de-vacas-de-noviercas-soria-spain,Milk
large-sewage-treatment-plant-in-minority-community,Sewage
prahovo-pyrite-cinder-dump-site-serbia,Pyrite
uranio-samana-caldas-colombia,Phosphate
uranio-samana-caldas-colombia,Vanadium
parque-tematico-de-flora-y-fauna-bioparque-pereira-colombia,Megaconstruccion Para Turismo
sagarmatha-national-park-nepal,The recognition of rights
sagarmatha-national-park-nepal,not a commodity
sagarmatha-national-park-nepal,is the main source of the current conflict. The conflict arises over the imposition of protected areas over the rights of indigenous communities
sagarmatha-national-park-nepal,such as the Sherpa in this case. The Sherpa are not mere stakeholders
sagarmatha-national-park-nepal,they are rightholders. 
zacatecana-mercury-silver-mexico,Mercury
taganito-mining-corporations-nickel-mine-surigao-del-nortephilippines,Nickel and other associated minerals
khoikhoi-and-san-peoples-rooibos-access-and-benefit-sharing-agreement,Rooibos leaves
khoikhoi-and-san-peoples-rooibos-access-and-benefit-sharing-agreement,Traditional knowledge
rio-blanco-mine-majaz-peru,Molybdenum
chromite-mining-in-salcedo-and-killing-of-activist-francisco-canayoung-philippines,Chromite ore
shandong-chtc-helon-co-ltd-viscose-factory-china,Viscose 
kerr-mcgee-cimarron-fuel-fabrication-site-in-oklahoma-usa,Plutonium
illegal-narcotics-plantations-on-indigenous-nasa-territory-in-caldono-cauca-colombia,Narcotics; Coca leaf 
water-and-sewerage-anti-privatization-movement-in-thessaloniki,Wastewater  
ring-of-fire-ontario-canada,Chromites
ring-of-fire-ontario-canada,Nickel
ring-of-fire-ontario-canada,copper
ring-of-fire-ontario-canada,"platinum. Chromite is an iron chromium oxide: FeCr2O4. It is an oxide mineral belonging to the spinel group.  
It is an important mineral for the production of metallic chromium"
ring-of-fire-ontario-canada,used as an alloying ingredient in stainless and tool steels. 
onca-puma-nickel-mining-project-in-ourilandia-do-norte-para-brazil,Nickel
food-producers-protest-poland,Agricultural Products (milk
food-producers-protest-poland,etc.)
panna-tiger-reserve-india,Stone
geotube-construction-in-pentha-india,geotextiles
geotube-construction-in-pentha-india,gabion boxes
geotube-construction-in-pentha-india,polymer rope
quifels-hoyo-hoyo-agriculture-project-in-lioma-zambezia-region-mozambique,Sunflower (Bio Fuel)
quifels-hoyo-hoyo-agriculture-project-in-lioma-zambezia-region-mozambique,Sesame
poluicao-por-curtumes-rio-alviela-pernes-portugal,Leather
los-tolupanes-en-contra-de-proyectos-mineros-e-hidroelectricos-el-yoro-hondura,Antimony
modiwa-platinum-mine-in-maandagshoek-limpopo-south-africa,Platinum
nice-oin-plaine-du-var-france,"- Leisure Services.
- Transportation Services."
vertedero-de-residuos-en-cayambe-ecuador,Residuos sólidos
m-serious-pollution-of-the-realgar-mine-in-changde-city-hunan-province-china,realgar
m-serious-pollution-of-the-realgar-mine-in-changde-city-hunan-province-china,arsenic
m-serious-pollution-of-the-realgar-mine-in-changde-city-hunan-province-china,phosphate fertilizer
m-serious-pollution-of-the-realgar-mine-in-changde-city-hunan-province-china,sulfuric acid
hybrid-rice-in-the-office-du-niger-mali,Livestock (Cattle)
mercury-dumping-in-abu-kammashs-water-poses-a-threat-to-coastal-life-libya,Plastic
mercury-dumping-in-abu-kammashs-water-poses-a-threat-to-coastal-life-libya,Salt
sri-lankan-farmers-defend-their-rights-against-a-new-seed-law,seeds
huanuni-bolivia,Estaño (Tin)
air-pollution-at-qilu-pharmaceutical-companystudent-and-parent-protests-in-licheng-no-2,Pharmaceutical products
apeco-special-economic-zone-on-ancestral-lands-and-fishing-grounds-aurora-island-philippines,special economic zones
new-aviation-fuel-delivery-system-to-serve-vancouver-airport,aviation fuel
corumba-indigenous-communities-and-mining-brazil,Manganese.
dannenrod-forest-occupation-against-highway-construction,Transportation
fisherfolk-against-fake-new-islands-in-jakarta-bay-indonesia,Fisheries
industrial-zoning-in-austin,Household recyclables
nashua-river-pollution-usa,Textiles
nashua-river-pollution-usa,Paper
hubei-shuanghuan-science-and-technology-compan, sodium carbonate
hubei-shuanghuan-science-and-technology-compan,used in making glass
hubei-shuanghuan-science-and-technology-compan,and ammonium chloride for fertilizer
project-fortress-mega-solar-plant-kent-uk,Batteries
proyecto-la-vega-mocoa-colombia,Molybdenum
rio-colorado-potasio-mendoza-argentina,"Potash
Potash"
isahaya-bay-nagasaki-prefecture-construction-of-the-dyke-japan,Seaweed
stop-de-kindermoord-stop-the-child-murder-protest-for-children-deaths-caused-by-motor-vehicles,Disproportionate use of urban space by cars. The commodity causing the conflict is cars
stop-de-kindermoord-stop-the-child-murder-protest-for-children-deaths-caused-by-motor-vehicles,together with urban planning at the service of the cars.
amianto-mining-in-minacu-goias,Crisotila (White Amianto); 
contaminacion-del-rio-tula,Arsenic
contaminacion-del-rio-tula,cadmium
contaminacion-del-rio-tula,and methylmercury.
al-tamimi-khaled-attempts-crop-farming-in-dosso-niger,Irrigated Crops
intexs-mindoro-nickel-project,Nickel
intexs-mindoro-nickel-project,Cobalt
