UID,health_impact,name
conexao-abrolhos-campaign-against-the-auction-of-oil-and-gas-blocks-close-to-abrolhos,,Other Health impacts
chachi-indigenous-centre-el-encanto-vs-durini-ecuador,,Malnutrition
fehmarn-belt-fixed-link-germany-denmark,,Occupational disease and accidents
saramaka-people-against-the-state-of-suriname,,"Mental problems including stress, depression and suicide"
saramaka-people-against-the-state-of-suriname,,Malnutrition
waste-management-in-subotica,,Accidents
waste-management-in-subotica,,Occupational disease and accidents
waste-management-in-subotica,,Other environmental related diseases
wastepickers-in-ankara-struggle-to-be-formally-incorporated-into-the-legal-waste-collecting-framework-turkey,,Other Health impacts
wastepickers-in-ankara-struggle-to-be-formally-incorporated-into-the-legal-waste-collecting-framework-turkey,,Infectious diseases
champlain-hudson-power-express,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
champlain-hudson-power-express,,"Mental problems including stress, depression and suicide"
illegal-mining-at-bainaimiao-coal-mine-in-dorbod-banner-ulanqab-inner-mongolia-china,,Other environmental related diseases
illegal-mining-at-bainaimiao-coal-mine-in-dorbod-banner-ulanqab-inner-mongolia-china,,Other Health impacts
health-and-environmental-impacts-of-the-petrochemical-complex-in-tarragona-spain,,Accidents
health-and-environmental-impacts-of-the-petrochemical-complex-in-tarragona-spain,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
health-and-environmental-impacts-of-the-petrochemical-complex-in-tarragona-spain,,Occupational disease and accidents
health-and-environmental-impacts-of-the-petrochemical-complex-in-tarragona-spain,,Deaths
health-and-environmental-impacts-of-the-petrochemical-complex-in-tarragona-spain,,Other environmental related diseases
health-and-environmental-impacts-of-the-petrochemical-complex-in-tarragona-spain,,Other Health impacts
health-and-environmental-impacts-of-the-petrochemical-complex-in-tarragona-spain,,"Mental problems including stress, depression and suicide"
homestead-temporary-shelter-for-unaccompanied-children,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
ilisu-dam-project-turkey,,Accidents
ilisu-dam-project-turkey,,Malnutrition
ilisu-dam-project-turkey,,"Mental problems including stress, depression and suicide"
ilisu-dam-project-turkey,,"Violence related health impacts (homicides, rape, etc..) "
ilisu-dam-project-turkey,,"Health problems related to alcoholism, prostitution"
ilisu-dam-project-turkey,,Occupational disease and accidents
ilisu-dam-project-turkey,,Deaths
ilisu-dam-project-turkey,,Other environmental related diseases
alton-gas-canada,,Accidents
alton-gas-canada,,Occupational disease and accidents
alton-gas-canada,,Other Health impacts
bedouin-israeli-citizens-expelled-from-their-land-by-the-state-israel,,"Mental problems including stress, depression and suicide"
bedouin-israeli-citizens-expelled-from-their-land-by-the-state-israel,,"Violence related health impacts (homicides, rape, etc..) "
bedouin-israeli-citizens-expelled-from-their-land-by-the-state-israel,,Deaths
bedouin-israeli-citizens-expelled-from-their-land-by-the-state-israel,,Malnutrition
karad-airport-expansion-maharashtra-india,,Occupational disease and accidents
karad-airport-expansion-maharashtra-india,,"Mental problems including stress, depression and suicide"
karad-airport-expansion-maharashtra-india,,"Health problems related to alcoholism, prostitution"
karad-airport-expansion-maharashtra-india,,Deaths
karad-airport-expansion-maharashtra-india,,Other environmental related diseases
karad-airport-expansion-maharashtra-india,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
karad-airport-expansion-maharashtra-india,,"Violence related health impacts (homicides, rape, etc..) "
karad-airport-expansion-maharashtra-india,,Infectious diseases
karad-airport-expansion-maharashtra-india,,Malnutrition
karad-airport-expansion-maharashtra-india,,Accidents
lagunas-de-castrovirreyna,,Other environmental related diseases
lagunas-de-castrovirreyna,,Occupational disease and accidents
the-shenzhen-pneumoconiosis-crisis-guangdong-china,,Occupational disease and accidents
the-shenzhen-pneumoconiosis-crisis-guangdong-china,,Accidents
the-shenzhen-pneumoconiosis-crisis-guangdong-china,,"Mental problems including stress, depression and suicide"
the-shenzhen-pneumoconiosis-crisis-guangdong-china,,Other environmental related diseases
the-shenzhen-pneumoconiosis-crisis-guangdong-china,,Deaths
bateke-carbon-sink,,Malnutrition
protest-against-the-plnnaed-qingshuihe-waste-incineration-power-plant-luohu-district-shenzhen-china,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
protest-against-the-plnnaed-qingshuihe-waste-incineration-power-plant-luohu-district-shenzhen-china,,Other environmental related diseases
shell-contractors-fingered-in-bodo-community-oil-theft-explosion-nigeria,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
shell-contractors-fingered-in-bodo-community-oil-theft-explosion-nigeria,,Infectious diseases
four-sand-mining-related-deaths-in-jatpura-village-garhwa-district-jharkhand-india,,Accidents
four-sand-mining-related-deaths-in-jatpura-village-garhwa-district-jharkhand-india,,Deaths
oil-exploration-within-somalias-semi-autonomous-puntland-region,,"Violence related health impacts (homicides, rape, etc..) "
oil-exploration-within-somalias-semi-autonomous-puntland-region,,Deaths
c-332-people-with-excessive-blood-lead-caused-by-a-sino-foreign-joint-venture-in-deqing-county-of-zhejiang,,Occupational disease and accidents
c-332-people-with-excessive-blood-lead-caused-by-a-sino-foreign-joint-venture-in-deqing-county-of-zhejiang,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
c-332-people-with-excessive-blood-lead-caused-by-a-sino-foreign-joint-venture-in-deqing-county-of-zhejiang,,"Mental problems including stress, depression and suicide"
c-332-people-with-excessive-blood-lead-caused-by-a-sino-foreign-joint-venture-in-deqing-county-of-zhejiang,,Other Health impacts
lubicon-lake-nation-canada,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
lubicon-lake-nation-canada,,"Mental problems including stress, depression and suicide"
lubicon-lake-nation-canada,,"Health problems related to alcoholism, prostitution"
lubicon-lake-nation-canada,,Other environmental related diseases
koroama-women-stage-protest-alleging-neglect-by-shell-nigeria,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
koroama-women-stage-protest-alleging-neglect-by-shell-nigeria,,Malnutrition
koroama-women-stage-protest-alleging-neglect-by-shell-nigeria,,"Mental problems including stress, depression and suicide"
koroama-women-stage-protest-alleging-neglect-by-shell-nigeria,,Infectious diseases
koroama-women-stage-protest-alleging-neglect-by-shell-nigeria,,Other environmental related diseases
environmental-injustice-and-social-vulnerability-due-to-dams-embankments-and-bank-erosion-in-the-ganga-kosi-floodplains-of-bihar-india,,Accidents
environmental-injustice-and-social-vulnerability-due-to-dams-embankments-and-bank-erosion-in-the-ganga-kosi-floodplains-of-bihar-india,,Infectious diseases
environmental-injustice-and-social-vulnerability-due-to-dams-embankments-and-bank-erosion-in-the-ganga-kosi-floodplains-of-bihar-india,,Deaths
environmental-injustice-and-social-vulnerability-due-to-dams-embankments-and-bank-erosion-in-the-ganga-kosi-floodplains-of-bihar-india,,Malnutrition
pulot-citinickel-mine-in-palawan-philippines,,Other environmental related diseases
pulot-citinickel-mine-in-palawan-philippines,,"Mental problems including stress, depression and suicide"
pulot-citinickel-mine-in-palawan-philippines,,"Health problems related to alcoholism, prostitution"
pulot-citinickel-mine-in-palawan-philippines,,"Violence related health impacts (homicides, rape, etc..) "
sufrimiento-ambiental-en-villa-inflamable-argentina,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
sufrimiento-ambiental-en-villa-inflamable-argentina,,Malnutrition
sufrimiento-ambiental-en-villa-inflamable-argentina,,Deaths
sufrimiento-ambiental-en-villa-inflamable-argentina,,Accidents
sufrimiento-ambiental-en-villa-inflamable-argentina,,"Mental problems including stress, depression and suicide"
sufrimiento-ambiental-en-villa-inflamable-argentina,,Occupational disease and accidents
sufrimiento-ambiental-en-villa-inflamable-argentina,,Infectious diseases
presa-la-boquilla-y-conflicto-por-el-agua-en-chihuahua,,Deaths
valdecaballeros-nuclear-power-station-spain,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
vieques-puerto-rico,,Accidents
vieques-puerto-rico,,"Exposure to unknown or uncertain complex risks (radiation, etc…)"
vieques-puerto-rico,,Malnutrition
vieques-puerto-rico,,"Mental problems including stress, depression and suicide"
vieques-puerto-rico,,"Violence related health impacts (homicides, rape, etc..) "
vieques-puerto-rico,,Occupational disease and accidents
