slug,relevant_government
oil-spill-at-ojobo-community-nigeria,Nigerian National Petroleum Corporation
preston-new-road-fracking-site-aka-little-plumptons,"Lancashire County Council
Fylde Borough Council
Environment Agency
Public Health England
Health and Safety Executive
Oil and Gas Authority
The Green Party"
residents-protest-against-foul-air-in-weiyuan-county-sichuan-china,"- the environmental protection bureau of Weiyuan County
- the government of Weiyuan County"
proyecto-inmobiliario-bosques-del-paraiso-en-san-francisco-magu-mexico,"Gobierno Municipal de Villa Nicolas Romero
Gobierno del Estado de México
Secretaria del Medio Ambiente y Recursos Naturales
Procuraduría Federal de Protección al Ambiente"
illegal-animal-traficking-iraq,
contaminacion-de-rio-por-proyecto-minero-el-cofre-peru,Alcaldía de la Comunidad Distrital de Paratía
meinungdam-yellow-butterfly-valley-stopped-taiwan,Government of Taiwan.
ohrid-prespa-urbanization-drive,"Government of the Republic of Macedonia
Municipality of Ohrid"
shell-brazil-basf-pesticide-plant-brazil,
mafasir-yattas-water-pipelines-cut-by-israeli-occupation-forces-palestine,Mohammed Reb’i [The head of the Twaneh village council]
kashang-hydroelectricity-project,"Government of Himachal Pradesh, Forest Advisory Committee (FAC), Himachal Pradesh High Court, National Green Tribunal, Environment Appraisal Committee of MoEFCC, Department of Forests (GoHP)"
maraglla-tunnel-project,"Capital Development Authority (CDA)
National Highway Authority (NHA)"
ecoamerica-sac-failed-agriculture-project-in-san-martin-peru,"Peru: Commission for the Formalization of Informal Ownership , Constitutional Court"
deadly-land-grabbing-in-hacienda-dolores-porac-pampanga-philippines,"Department of Agrarian Reform, the Philippine National Police, the Office of the Provincial Prosecutor - Department of Justice"
jiasa-river-hydropower-station-dam-threatens-green-peafowls-yunnan-china,"- Ministry of Environmental Protection (MEP, and MEE)
- Ministry of Water Resources
- the Chuxiong government 
- China Renewable Energy Engineering Institute 
-Yunnan Forestry Department"
sakatti-mine,Government of Finland
datang-coal-to-gas-project-in-hexigten-banner-inner-mongolia-china,Hexigten Banner Environmental Protection Bureau (EPB)， http://www.kskt.gov.cn/jczwbzh/gzfm/hjbh
kun-long-dam-on-the-salween-river-myanmar,"Ministry of Electric Power, Myanmar.
Department of Hydro Power Implementation
Myanmar Investment Commission (MIC)
and others"
artisanal-and-small-scale-gold-mining,"ARCOM - Agency of Control and Regulation
INIGEMM - National Institue of Geological and Mineralogical Mining Research
Ministry of Environment
Ministry of Work
Ministry of Mining
SENAGUA - Secretary of Water
Municipality of Zaruma/Portovelo
Gobierno Autonomo Descentralizado de El Oro (Provincial administration of El Oro)"
grassroots-seed-conservation-movement-in-greece,
jharia-coalfield-fire-india,"Government of Jharkhand, Jharia Rehabilitation and Development Authority , Jharia Action Plan"
jarch-management-land-deal-in-mayom-county-south-sudan,"Southern Sudanese Government Members on the Board of Jarch Management Group: Joseph Wejang (Minister of Health of the Government of Southern Sudan at time of appointment – 2/08, appointed to position of governor of Unity State 5/08 ), Paulino Matip Nhial, Paulino Matip, General Gabriel Tanginye"
us-capital-energy-drilling-in-sarstoon-temash-national-park,Government of Belize
amayapampa-y-capasirca-masacre-bolivia,Gobierno Nacional de Bolivia
instalacion-de-una-embotelladora-de-agua-mineral-en-el-valle-del-corneja,"Junta de Castilla y León
Confederación Hidrográfica del Duero
Confederación Hidrográfica del Tajo
Ayuntamientos de Villafranca de la Sierra, San Martin de la Vega del Alberche, Navaescurial y Navacepedilla de Corneja"
suarez-cauca-colombia,"Gobernación del Departamento del Cauca, Alcaldía de Suárez, Instituto Colombiano de Mineria y Geologia , Ministerio de Ambiente y Desarrollo Sostenible, Corte Constitucional de Colombia, Policía Nacional, Ejército Nacional, Corporacion Autónoma Regional del Cauca"
waste-water-collection-and-treatment-project-proposed-on-the-site-of-the-banlozi-roma-settlement-bosnia-and-herzegovina,"Deputy Chairman of the Council of Ministers of BiH and Minister of Finance and Treasury Vjekoslav Bevanda
Faud Kasumović, the Zenica mayor"
cattenom-nuclear-reactor-france,French government and Luxembourg government
henan-xinxiang-hongda-paper-industry-co-ltd-causing-water-pollution-china,"-the Guguzhai Township Government
-the Xinxiang County Government
- the petition office of the State Environmental Protection Administration (SEPA, as Ministry of Ecology and Environment since March 2018) 
- the Environmental Protection Bureau of Henan province
-the Environmental Protection Bureau of Xinxiang County"
cerro-paramo-de-miraflores-colombia,"Presidencia de La Republica, Ministerio de Ambiente y Desarrollo Sostenible, Senado de La Republica, Contraloria General de la Republica, Gobernacion del Huila, Concejos Municipales del Huila, Alcaldia de Garzon y Gigante, Corporaciï¿½n para el Desarrollo Sostenible del Sur de la Amazonia , Corporaciï¿½n Autï¿½noma Regional del Alto Magdalena "
east-side-coastal-resiliency-project-in-the-lower-east-side-new-york-usa,"- New York City
- New York State
- U.S Department of Housing and Urban Development"
ganaderia-y-siembra-de-arroz-amenazan-la-laguna-matusagarati-darien-panama,"Autoridad Nacional del Ambiente Panamá (ANAM), Autoridad de los Recursos Acuáticos de Panamá (ARAP), Ministerio de Desarrollo Agropecuario  (MIDA), Servicio Nacional de Fronteras (SENAFRONT), Municipalidad de Darién (gobierno local),Alcaldía de Pinogama,"
pak-lay-dam,"Lao Government, Mekong River Commission,"
baglihar-hydroelectric-power-project-india,"Government of India, Government of J&K"
karama-dam-jordan,Ministry of Water & Irrigation - Jordan Valley Authority
dirty-and-dangerous-shipbreaking-in-alang,"Ministry of Shipping, Ministry of Labour and Employment, Ministry of Environment, Forest and Climate Change, Ministry of Health & Family Welfare, Gujarat Maritime Board, Gujarat Pollution Control Board"
quirimbas-community-carbon-project-mozambique,Agriculture Ministry and Tourism ministry
electrosteel-plant-in-siyaljori-jharkhand-india,Government of Jharkhand
city-hall-hampers-the-activities-of-waste-pickers-cooperatives-in-sao-paulo-brazil,"City Hall of São Paulo - Prefeitura de São Paulo
Municipal Urban Cleaning Authority - Autoridade Municipal de Limpeza Urbana (AMLURB)
Public ministry - Ministério Público
Federal Public Defender's Office - Defensoria Pública da União"
no-a-la-mineria-in-zacualpan-colimas,"Secretaría de Economía de Colima, Procuraduría Agraria, delegación Colima; Cámara de Diputados del Estado de Colima, Tribunal Unitario Agrario"
kuokuang-petrochemical-technology-company-taiwan,"Ministry of Economic Affairs
The Council of Agriculture’s Forestry Bureau
Fisheries Agency
the Coast Guard Administration
Department of East Asian and Pacific Affairs"
unequal-access-to-safe-drinking-water-in-san-joaquin-valley-usa,"EPA, California Department of Public Health"
michelin-rubber-plantations-nigeria,Edo State Government
forest-rights-of-indigenous-people-in-junwani-village,"Scheduled Tribe and Scheduled Caste Development Department, Chhattisgarh State Government
Chhattisgarh´s Ministry of Forests"
contaminacion-por-el-botadero-kara-kara-bolivia,"Alcaldía de Cochabamba, Municipio de Cercado, Prefectura Ambiental, Servicio de Geología y Minería, Ministerio de Ambiente y Agua, Corte Superior de Justicia."
nadzab-airport-redevelopment-project-narp-and-airport-city,"National Airports Corporation (NAC)
Government of Papua New Guinea
Wampar LLG
Land Titles Commission
Huon Gulf administration
Morobe Provincial Government
Department of Lands and Physical Planning
NCD (National Capital District) Physical Planning Board
Government of Australia"
protest-surface-subsidence-and-house-cracking-caused-by-coal-mininghenanchina,"-The National Economic and Trade Cooperation in 2002, it was jointly organized by the Ministry of Agriculture and the people's Government of Henan province. It was opened in Zhumadian on October 31, 2002. Wuguiqiao coal mine was introduced at this event.
-Henan Bureau of Coal Mine Safety http://www.hnsafety.gov.cn/
-Zhumadian City Government"
baiyinhua-no3-coal-mine-inner-mongolia-china,"- Ministry of Environmental Protection
- Environmental Protection Inspection Center of North China (华北环保督察中心, which later became North China Inspection Bureau of Ministry of Ecology and Environment or 生态环境部华北督查局) in October 2014
- State Land and Resources Bureau of West Ujimqin Banner 
- Natural Resources Bureau of West Ujimqin Banner"
quiruvilca-peru,"OEFA
Fiscalía Penal de Trujillo
Dirección Regional de Salud
Defensoría del Pueblo
Autoridad Nacional del Agua
Osinergmin"
gripen-gas-oland-sweden,Bergsstaten 
proyecto-hidroelectrico-el-cimarron-el-salvador,"Ministerio de Medio Ambiente y Recursos Naturales (MARN), Comisión Hidroeléctrica del Río Lempa (CEL), Corte Suprema de Justicia (CSJ), Consejo Nacional de Energía (CNE)."
pak-mun-hydropower-dam-thailand,"now the Ministry of Energy (Thailand) since 2002, RID "
kediri-airport,"East Java Provincial Government
Kediri, Blitar and Nganjuk district governments
Ministry of Transportation
Angkasa Pura 1 (state airport operator)
Bank of Indonesia"
port-expansion-in-la-punta-valencia-spain,"Regional government of Valencia , Valencian Town Council"
wackersdorf-nuclear-reprocessing-plantg-baviera-germany,"Government of Bavaria
Federal Ministry of Energy
Minister of the Interior, police"
signing-of-cameco-areva-deal-with-english-river-first-nations-ignites-strong-opposition-from-members,"Canadian Nuclear Safety Commission (CNSC)
Canadian Government
Pinehouse mayor"
la-calanque-de-port-miou-and-the-solvay-company-marseille-france,Préfecture des Bouches-Du-Rhòne
ile-doleron-off-shore-wind-mills-france,"Commission nationale du débat public (CNDP - National Commission of Public Debate) 
Ministère de la Transition Ecologique (Ministry for the Ecological Transition)
Ministère de la Mer (Ministry of the Sea)
Centre d’études et d’expertise sur les risques, l’environnement, la mobilité et l’aménagement (CEREMA - Centre of Studies and Expertise on risks, environment, mobility and development)
ex-Agence des aires marines protégées (former Agency of protected marine areas)
Office français de la biodiversité (French Office for Biodiversity)
Conseil National de la Protection de la Nature (CNPN - National Council for the Protection of Nature)
Comité départemental des pêches de Charente maritime (Local Commity of fisheries in Charente maritime)
Comité Régional des pêches de Nouvelle-Aquitaine (Regional Commity of fisheries in Nouvelle-Aquitaine)"
el-quimbo-hydroelectric-project-colombia,"Ministerio de Minas y Energía, Ministerio de Ambiente, Ministerio de Agricultura, Parlamentarios del Huila, Procuraduria delegada para asuntos ambientales y agrarios, Defensoria del Pueblo, Corporacion Autonoma Regional del Alto Magdalena, Autoridad Nacional de Licencias Ambientales, Unidad de Delitos contra el Medio Ambiente, Contraloria General de la República, INVIAS"
boral-basin-development-project,"Ministry of Land; Ministry of Environment and Forest; Ministry of Water Resources; Ministry of Fisheries and Livestock; Local Government, Rural Development and Co-operatives; Director General, Department of Environment (DoE); Director-General, Bangladesh Water Development Board; Deputy Commissioners of Rajshahi, Natore, Pabna, Sirajgonj; District Fisheries Officer, Pabna; Director, Department of Environment (DoE), Rajshahi Division;  Upazilla Fisheries Officer, Chatmohor Upazilla, Pabna"
hunter-valley-coal-new-south-wales,"The New South Wales government
o	Sets mining policy for the assessment and development of proposals through the State Environmental Planning Policy (Mining, Petroleum Production and Extractive Industries) 2007 (Mining SEPP)
o	Sets policy for the management of noise and dust through the Voluntary Land Acquisition and Mitigation Policy
o	Releases coal and petroleum prospecting titles through the Preliminary Regional Issues Assessment for Potential Coal and Petroleum Exploration Release Areas http://www.planning.nsw.gov.au/Policy-and-Legislation/Mining-and-Resources
New South Wales Environment Protection Agency, regulates and monitors environmental impacts including air quality, and responds to incidents http://www.epa.nsw.gov.au/air/coalminingNSW.htm
The Federal government, through a range of policies and legislation including environmental standards through National Environment Protection Measures (NEPM)"
thermal-power-plant-stanari,"Ministry of Industry, Energy and Mining"
rio-tabaconas-minera-las-palmeras-cajamarca,"ANA Autoridad Nacional del Agua
OEFA Organismo Evaluación y Fiscalización Ambiental"
feronia-inc,"Belgian colonial government, Congolese independent government, British Government Development Aid Agency, European Commission, Spanish and French Development Agencies"
new-hampshires-granite-bridge-gas-pipeline-united-states,"NH Public Utilities Commission (NHPUC)
US Department of Transportation Pipeline and Hazardous Materials Safety Administration (PHMSA)
Rockingham Planning Commission"
controversial-coal-fired-power-plant-built-in-mcl-cement-plant-mon-state-myanmar,"Myanmar Investment Commission
Ministry of Natural Resource and Environmental Conservation
Ministry of Electricity and Energy
Mon State Parliament"
oil-palm-monoculture-in-the-choco-colombia,"Colombian State Council, Environment Ministry, Permanent Peoples Tribunal, Fiscalia"
chimanimani-diamond-mining-zimbabwe,"Chimanimani Rural District Council, Zimbabwe Republic Police, Zimbabwe National Army, Ministry of Mines and Mining Development"
mt-canatuan-gold-mine-on-subanon-ancestral-lands-western-mindanao-philippines,Department of Environment and Natural Resources (DENR) of the Philippine government
desplazamiento-de-comunidad-de-montubios-ecuador,Subsecretaría de Tierras de Guayas-Ministerio de Agricultura
colquijirca-el-brocal-peru,
coal-power-plant-in-lamu-kenya,
coal-mining-accident-in-bergueda-catalonia-spain,Governor of the province
successful-protests-to-remain-a-shrimp-free-zone-in-polder-22-bangladesh,"Bangladesh Government, Department of Fisheries"
ashaninka-community-against-tawaya-cosmeticos,"Federal Public Ministry
Acrean Federal Court
Instituto Nacional de Propriedade Intelectual - INPI"
mekorot-and-the-opt-israel-palestine,The State of Israel
meja-thermal-power-plant-up-india,Central Electricity Authority
luhri-hydro-project-on-sutlej-river-hp-india,"National Green Tribunal
HImachal Pradesh State"
afectacion-de-los-pueblos-yekwana-y-sanema-por-mineria-ilegal-en-el-rio-caura,"•	Fuerza Armada Nacional Bolivariana, los cuáles han impulsado varios planes para la erradicación de la minería ilegal en estos territorios: el Plan Piar, en 2003; que se transformó en la Misión Piar, en 2005; el Plan de Reconversión Minera, en 2006; el Plan Caura, de 2010, y por último la Comisión Presidencial para la Protección del Desarrollo y Promoción Integral de la Actividad Minera en la Región Guayana, creada en 2014
•	Ministerio de Pueblos Indígenas. Ministra Aloha Nuñez
•	Ministerios del Ambiente. Dirección estatal de Bolívar.
•	Gobernador del estado Bolívar Francisco Rangel Gómez
•	Alcaldía del municipio Sucre del estado Bolívar. Alcaldesa Amelia Falcón"
estrazione-di-gas-sul-lago-di-bomba,"Ministerio del Medio Ambiente; Región de Abruzzo; Provincia de Chieti; Municipio de Bomba y municipios vecinos"
torata,Autoridad Nacional del Agua (ANA)
antapite-huancavelica-peru,"Direccion General de Asuntos Ambientales Mineros, Direccion General de Mineria del Ministerio de Energia y Minas, MINEM, del Peru, Defensoria del Pueblo de Huancavelica"
dow-plaquemines-la-usa,"Louisiana Department of Health and Hospitals, EPA, Louisiana Department of Environmental Quality"
multiple-spills-in-biseni-nigeria,Nigerian National Petroleum Corporation.
famatina-gold-mining-argentina,"Argentina Government, Honorable Concejo Deliberante del Dpto. Chilecito, Consejo Provincial de la Rioja, Municipalidad Departamento Famatina, Legislature of La Rioja"
vilappilsala-waste-plant-vilappilsala-kerala-india,"The High Court of Kerala
The Supreme Court of India
Government of Kerala"
reserva-nacional-de-tariquia-y-oposicion-a-hidrocarburos-bolivia,Ministerio de Hidrocarburos
marlin-guatemala,"Ministerio de Ambiente y Recursos Naturales, Municipio de San Miguel de Ixtahuacan, Municipio de Sipakapa"
vila-nazare,"Federal District Attorney- Civil Action Petition [12]
Federal Civil Public Defender
Rio Grande do Sul District Attorney
Rio Grande do Sul Civil Public Defender
Department of Housing, Municipal Government, Porto Alegre
Porto Alegre Municipal Government
Rio Grande do Sul State Government
Federal Government of Brazil
National Civilian Aviation Authority (ANAC)"
parque-fotovoltaico-yucatan-solar-valladolid-mexico,"Secretaria de Medio Ambiente y Recursos Naturales (SEMARNAT)
Secretaría de Energía (SENER)
Comisión Reguladora de Energía (CRE)
Instituto Nacional de Antropología e Historia (INAH)
Consejo Nacional de Ciencia y Tecnología  (CONACYT)
Gobierno del estado de Yucatán"
piper-alpha-disaster-in-central-north-sea-scotland,"Department of Energy, UK Government"
hydro-power-plant-and-national-park-djerdap-serbia,"Socialist Federal Republic of Yugoslavia (until 1991), Republic of Serbia"
exxon-valdez-oil-spill-alaska-united-states,"EPA, Environmental Protection Agency
Alaska Department of EnvironmentalConservation 
U.S. Coast Guard"
pt-psa-oil-palm-plantation-conflict-sumatra-indonesia,"Minister of Agrarian Affairs/Head of National Land Agency
Governor of Riau Rusli Zainal"
hidralia-guatemala,"Government of Guatemala, Ministry of Energy and Mines (Guatemala),  Relatoría de Derechos de los Pueblos indígenas, Relatoría de Defensores y Defensoras de Derechos Humanos, Procuraduría de Derecho Humanos, Consejos Comunitarios de Desarrollo (COCODE), Congreso de la República (Guatemala)
Ministry of Foreign Affairs (Spain), Defensor del Pueblo"
marathon-oil-refinery-in-detroit-michigan,"Michigan Occupational Safety and Health Administration, Michigan’s Department of Environmental Quality (DEQ), Toxic Substances & Disease Registry, U.S. Congress"
fight-against-russian-nuclear-deal-in-south-africa,"South African Parliament
Department of Environmental Affairs 
Western Cape High Court 
Department of Energy
National Energy Regulator of South Africa"
ddt-contamination,"EPA, Center for Disease Control (CDC), Mayor Clyde Foster"
kohala-hydro-power-project-in-pakistan-occupied-kashmir,"Pakistan Water And Development Authority-WAPDA, Alternative Energy Development Board (AEDB), Ministry of Water and Power"
dangjin-coal-fired-power-complex,The South Korean government (directly and indirectly) owns a 51.11% shares of KEPCO.
akkuyu-nuclear-power-plant-turkey,"Ministry of Energy and Natural Resources,
Ministry of Environment and Urbanisation, 
Turkish Atomic Energy Authority"
bronx-river-greenway,"NYEDC, Congressman Serrano"
polish-road-construction-in-natura-2000-site,"Ministry of Infrastructure and Development,
General Directorate for National Roads and Motorways, a government body"
marange-diamond-land-and-human-rights-abuses-zimbabwe,"Ministry of Mines and Mining Development, Zimbabwe Mining Development Corporation, Minerals Marketing Corporation of Zimbabwe, Zimbabwe National Army, Zimbabwe Republic Police, Central Intelligence Organization, Marange Rural District Council, Marange Traditiona"
logistics-hub-trans-shipment-port-in-portland-bight-jamaica,"Ministry of Water, Land, Environment and Climate Change, National Environment and Planning Agency –NEPA-, Ministry of Agriculture, Labour and Social Security, Ministry of Transport, Works and Housing."
mong-kung-coal-mine-shan-state-myanmar,"Ministry of Natural Resources and Environmental Conservation [MONREC]
Department of Mines
and others"
vincis-plan-for-a-new-airport-mid-nature-reserve,
incendio-de-formuladora-de-plaguicidas-anaversa,"Gobierno Federal, en especial, la secretaría de Salud y la Secretaría de Desarrollo Urbano y Ecología. El Gobierno del Estado de Veracruz. Gobierno Municipal de la Ciudad de Córdoba.  Comisión Nacional de Derechos Humanos (CNDH)"
estonias-shale-oi-estonia,"Goverment of Estonia
European Commission"
sumsel-1-coal-fired-power-plant-south-sumatra-indonesiaa,- Muara Enim regency authorities
east-eagle-reliability-project-in-east-boston-by-eversource,"Energy Facilities and Siting Board (EFSB) of Massachusetts
Executive Office of Energy and Environmental Affairs of Massachusetts
Department of Public Utilities of Massachusetts
SO New England (the regional transmission organization)."
general-alvear-suspende-proyecto-de-exeter-mendoza-argentina,"Municipio de General Alvear
representante gubernamental de Punta del Agua
Concejo Deliberante de General Alvear
Dirección de Minería, Mendoza
Dirección de Proteccción Ambiental, Mendoza. 
Departamento General De Irrigación (DGI)"
carreteras-en-purus-inapari,"Mnisterio de Cultura, Ministerio de Transportes y Comunicaciones, SERNANP, Defensoria del Pueblo, Ministerio del Ambiente"
badagry-residents-and-gas-flare-devastations-nigeria,"National Oil Spill Detection and Response Agency (NOSDRA), Federal Ministry of Environment, National Environmental standards and Regulations Enforcement Agency, Department of Petroleum Resources, Lagos State firefighters"
kerkennah-employment-protests-tunisia,
canakkale-cirpilar-coal-plant-and-coalmining-project,"The Ministry of Environment and Urbanization
The Ministry of Agriculture and Forestry
State Hydraulic Works (Devlet Su İşleri, DSİ)"
forced-aquaculture-destroying-local-livelihood,
vedanta-and-konkola-zambia,Zambian government 
fracking-opposition-tunisia,"Tunisian Minister of Industry and Energy, National Committee for Hydrocarbons"
national-park-sjeverni-velebit-croatia,The Ministry of Environmental and Nature Protection of the Republic of Croatia
myanmar-ayeyarwady-integrated-river-basin-management-project-airbmp,"Directorate of Water Resources and Improvement of River Systems (Myanmar), Ministry of Transport and Communications (MoTC)"
chevron-activities-degrade-izombe-community-nigeria,"Nigerian National Petroleum Corporation. NNPC, Ministry of Niger Delta Affairs"
chevron-shale-gas-romania,
shells-drilling-for-oil-in-the-arctic,"Minerals Management Service (MMS), predecessor to the Bureau of Ocean Energy Management (BOEM).
Government of Alaska.
Government of the United States."
gas-flaring-in-ebocha-nigeria,Nigerian National Petroleum Corporation.
begendik-thermal-power-plant-turkey,"Ministry of Energy, Ministry of Environment and Urbanisation, Igneada Municipality"
self-organised-park-navarinou-and-zoodochou-pigis-str,"Municipality of Athens
"
belcoo-comunity-fracking-bloackade,Department of the Environment Northern Ireland
land-conflicts-in-indigenous-territories-in-southern-costa-rica,"Gobierno de Costa Rica, Fuerza Pública, Dirección Nacional de Desarrollo Comunal (Dinadeco),  Asociación de Desarrollo Integral (ADI), Vice-ministerio de la Presidencia, Ministerio de Justicia, Ministerio de Seguridad,Fondo Nacional de Financiamiento Forestal (FONAFIFO) ,  Oficinas de la Fiscalía de Asuntos Indígenas, Defensoría de los Habitantes, Municipalidad de Buenos Aires, la Comisión Nacional de Asuntos Indígenas (CONAI), el Instituto de Desarrollo Rural (INDER),"
deforestacion-en-loreto-y-ucayali-por-grupo-melka,"Dirección General de Asuntos Ambientales Agrarios (DGAAA) del Ministerio de Agricultura y Riego
Fiscalía Especializada en Materia Ambiental de Maynas
Conveción Nacional del Agro Ucayali
Poder Judicial
Defensoria del Pueblo"
socotra-island-military-takeover-by-uae-amid-climate-change-woes,"Yemeni local authorities
Emirati state officials"
deforestation-in-the-sacred-forest-of-massaha-gabon,"National government (esp. Minister of Water, Forest, the Sea and Environment of Gabon, Lee White); Stéssy Medi Moudinguela, Director-general of environmental protection; Lucien Massoukou, Director-general of wildlife and protected areas; Ghislain Moussavou, Director-general of forests"
wind-farm-cdm-project-in-kalpavalli-community,"Indian Ministry of Environment & Forests (DNA)
Andhra Pradesh State Government
National Green Tribunal of India"
kylylahti-mine,Polvijärvi municipal council
tilaiya-ultra-mega-power-project-india,"Union Coal Ministry, Government of India, Government of Jharkhand, Jharkhand Pollution Control Board, Power Finance Corporation"
protest-against-commercial-shrimp-farming-in-rujifi-delhi-tanzania,National Environmental Management Council (NEMC)
protests-in-bandung-indonesia-against-plan-for-multiple-incinerators,"Supreme Court
Indonesian Government
Bandung Administration"
contaminacion-ambiental-en-la-huaca-por-quema-de-cana-peru,"Dirección General de Asuntos Ambientales Agrarios del Ministerio de Agricultura y Riego (DGAAA-MINAGRI), Dirección General de Asuntos Ambientales Mineros del Ministerio de la Producción (DGAAI-PRODUCE), Gobierno Regional de Piura."
mulanje-massif-rare-earth-mineral-exploration-malawi,"Malawi Ministry of Energy and Mining, Malawi Geological Survey Department, Zomba, Mulanje District Commissioners Office"
portezuelo-del-viento,"Gobierno Nacional Argentina.
Gobierno de la Provincia de Mendoza.
Ministerio de Economía, Infraestructura y Energía de Mendoza.
Gobierno de la Provincia de La Pampa.
Gobierno de la Provincia de Rio Negro.
Gobierno de la Provincia de Buenos Aires.
Gobierno de la Provincia de Neuquén.
COIRCO - Comite Interjurisdiccional del Río Colorado."
see-garden-varna-grab-bulgaria,State and Municipal governments
principle-capital-holdings-biofuel-project-in-dombe-mozambique,
zama-zama-diamond-mining-in-kimberley-south-africa,"High Court, Department of Mineral Resources, Sol Plaatje Municipality"
castilla-thermal-power-station-chile,"Regional Health Authority of Atacama, Environmental Commission, Ministry of Environment, Ministry of Economy, Intergovernmental Committee for Expediting Investment Projects"
yanacocha-mine-peru,"Municipality of Cajamarca, Digesa - General Directorate of Environmental Health, Ministry for Environment, Ministry for Energy and Mining, Gobierno Regional de Cajamarca, PCM"
ban-chaung-coal-mine-karen-state-myanmar,"Ministry of Mines, Union government of Myanmar
Tanintharyi Regional Government
Karen National Union (KNU)
and others"
proyecto-hidroelectrico-veracruz-mexico,"SEMARNAT, CONAGUA"
2014-hazelwood-open-cut-coal-mine-fire,"Country Fire Brigade                                                                    Department of Health
Ambulance Victoria
Victoria Police
Metropolitan Fire Brigade (MFB)
Emergency Management Victoria
Environmental Protection Authority
Department of Environment and Primary Industries State Emergency Service
Australian Capital Territory Fire and Rescue
New South Wales Fire and Rescue
Tasmanian Fire Services
Queensland Fire Service
Air Services Australia
Mining Regulator
Victorian WorkCover Authority
La Trobe City Council"
sakhon-nakhon-potash-mine,"Ministry of Industry of Thailand, Government of Thailand,"
iron-ore-mining-and-mineroduct-grao-mogol-minas-gerais-brazil,"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis
Government of Minas Gerais"
controversy-over-construction-of-the-xiaonanhai-dam-along-the-yangtze-river-in-chongqing-china,"Bo Xilai, the Ministry of Environmental Protection (then the State Environmental Protection Agency - SEPA), the State Council, the former chief of the Yangtze Water Resources Protection Bureau Weng Lida, former vice-chair of the NPPCC with responsibility for hydropower development Qian Zhengling, the Ministry of Agriculture"
taiji-wakayama-prefecture-dolphin-hunting-conflicts-with-anti-whaling-organizations-like-sea-shepard,"Government of Japan
Ministry of Fisheries
Ministry of Environment"
ban-of-rat-hole-mining-in-jaintia-hills-meghalaya,State government of Meghalaya
oil-spill-in-egbebiri-community-nigeria,
lloyds-steel-iron-ore-mine-gadchiroli-maharashtra,"Chief Minister Mr. Devendra Fadnavis
CRPF (Central Reserve Police Force)
State Police
Sub-divisional magistrate
District Collector
Members of Congress, the opposition party"
ffos-y-fran-opencast-coal-mine-south-wales,"Welsh Assembly
Department for Business, Energy & Industrial Strategy (former DECC)"
vaike-oismae-park-housing-area,"Estonian Cultural Heritage Board - Siim Raie, avoided the protection of European Cultural heritage (Väike Õismäe park-housing area) in contradiction to 1985 Granada convention of protection of European architectural heritage;
Estonian Ministry of Interior - Andres Anvelt, made a precedent in allowing the Police to meddle into civil disputes between the people and the City;
Police and Boarder Guard Director - Elmar Vaher, authorization to use excessive force against Estonian population;
Estonian Environmental Board - allowed to remove active bird nests during nesting season."
zezico-guajajara-killed-for-combat-logging-gangs-in-the-amazon-area-in-maranhao-brazil,"IBAMA, Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis.
FUNAI, National Indian Foundation, is the Brazilian government body that establishes and carries out policies relating to indigenous peoples."
open-air-mine-exploitation-of-uranium-in-spain-portugal-border-spain,"Junta de Castilla y León
Ministerio de Industria, Energía y Turismo
Consejo de Seguridad Nuclear. 
Ayuntamientos de Villavieja de Yeltes y Retortillo."
contaminacion-en-la-presa-de-el-batan,"Comisión Nacional del Agua
Comisión Estatal de Aguas
Municipio de Corregidora
Secretaría de la Defensa Nacional 
Secretaría de Desarrollo Sustentable del Estado de Querétaro"
leasing-of-the-cirali-coast-turkey,"Antalya Provincial Forestry, Directorate under the Ministry of Forestry and Water Affairs, Antalya Cultural and Natural Heritage Preservation Board under the Ministry of Culture and Tourism, General Directorate of Nature Conservation and National Parks under the Ministry of Forestry and Water Affairs, Antalya Natural Heritage Preservation Board under the Ministry of Environment and Urbanisation., According to the Regional Directorate of Forestry, the Cirali Coast can be leased lawfully as a daily recreational area."
chooz-nuclear-power-plant-meuse-river-france,"The government of Pierre Mauroy, set up by President François Mitterrand, confirmed the building of the reactors."
ocespcc-campesinos-ecologistas-de-guerrero-mexico,Gobernación de Guerrero
extension-of-tucurui-transmission-line-to-roraima-brazil,"FUNAI
MPF
IBAMA
MME
Federal and regional governments
National Defense Council
National Electrical Energy Agency (Aneel)"
water-rights-of-the-dineh-navajo-tribe-usa,"US Government, Navajo Nation, States of Arizona, New Mexico, and Utah"
diablo-canyon-california-united-states,"Government of California
Nuclear Regulatory Commission"
balbina-hydroelectric-dam-amazonas-brazil,
marina-de-valdecanas-extremadura-spain,"Junta de Extremadura, Ayuntamientos de Gordo y Berrocalejo, Diputación de Cáceres"
veracel-celulose-brazil,"State Government of Bahia, CEPRAM - State Council for Environment of Bahia, INEMA - Institute for Environmental and Water Resources of Bahia, Federal Government, IBAMA - Brazilian Institute for Environment, State of Bahia and Federal Prosecution Services, including for Labour Issues, municipal council for environment"
adb-embankment-subproject-in-the-brahmaputra-river-of-kaziranga-assam,"Flood and River Erosion Management Agency of Assam (FREEMAA)
Water Resource Department (WRD)"
sadr-city-radioactive-waste-iraq,"Ministry of Health
Ministry of Environment
Ministry of Science"
