slug,relevant_government
ilisu-dam-project-turkey,"Turkish Prime Ministry, Turkish Ministry of Energy and Natural Resources, General Directorate of State Hydraulic Works, Turkish Ministry of Forestry and Water Affairs, Turkish Ministry of Environment and Urbanisation, Birolu Insaat, General Directorate of Cultural Heritage and Museums, TOKI, DSI"
alton-gas-canada,"Sipekne’katik First Nation
Millbrook First Nation
The Mi’kmaq Rights Initiative (KMKNO) (the organization which is the consulting agent for 12 of the province’s 13 Mi’kmaw communities) . Sipekne’katik is not a part of this.
Nova Scotia provincial government
Stewiacke Town Council
Nova Scotia Department of Energy
Nova Scotia Department of Environment
Federal Government
Federal departments of Natural Resources Canada and the Ministry of Fisheries and Oceans"
lagunas-de-castrovirreyna,"OEFA, Organismo de Evaluación y Fiscalización Ambiental"
fair-creek-old-growth-logging-protests,"Royal Canadian Mounted Police (RCMP)
Government of Canada
Province of British Columbia"
bateke-carbon-sink,"- President of France, Emmanuel Macron
- President of République du Congo, Denis Sassou-Nguesso
- Government of the République du Congo, Ministres des Finances et du Budget, de l’Economie forestière and des Affaires foncières, du domaine public et des relations avec le Parlement."
protest-against-the-plnnaed-qingshuihe-waste-incineration-power-plant-luohu-district-shenzhen-china,"Shenzhen city planning department
Shenzhen environmental department"
shell-contractors-fingered-in-bodo-community-oil-theft-explosion-nigeria,Nigerian National Petroleum Cororation 
four-sand-mining-related-deaths-in-jatpura-village-garhwa-district-jharkhand-india,District commissioner
oil-exploration-within-somalias-semi-autonomous-puntland-region,Puntland Petroleum Minerals Agency (PPMA)
c-332-people-with-excessive-blood-lead-caused-by-a-sino-foreign-joint-venture-in-deqing-county-of-zhejiang,"-Chinese Ministry of Environmental Protection (as Ministry of Ecology and Environment since March 2018 )
-The government of Deqing county
-The government of Xinshi Town
-Public Security Institution
-the Government of Huzhou City
-Environmental Protection Bureau of Huzhou City
-Environmental Protection Bureau of Deqing County
-Health Bureau of Deqing County
-Zhejiang Provincial Party Committee 
-Provincial Government of Zhejiang
-Provincial Environmental Protection Department of Zhejiang"
lubicon-lake-nation-canada,"Government of Alberta, Federal Administration of Environment"
lignite-mining-janschwalde-horno-germany,The government of Brandenburg
appiko-movement-western-ghats-india,Forest Department (Government of India)
pulot-citinickel-mine-in-palawan-philippines,"Mines and Geosciences Bureau (MGB), Republic of Philippines 
Department of Environment and Natural Resources (DENR)"
sufrimiento-ambiental-en-villa-inflamable-argentina,Autoridad de la Cuenca Matanza-Riachuelo (ACUMAR); Secretaría de Ambiente y Desarrollo Sustentable (SayDS); Defensoría del Pueblo de Avellaneda;  Corte Suprema de la Nación (CSJN);National Children’s Defence Office;
presa-la-boquilla-y-conflicto-por-el-agua-en-chihuahua,"Comisión Nacional de Agua (CONAGUA)
Guardia Nacional
Ejercito Mexicano 
Policía Federal"
valdecaballeros-nuclear-power-station-spain,Gobierno regional de Extremadura
vieques-puerto-rico,"US Navy, Government of Puerto Rico"
silent-valley-kerala-india,"Government of Kerala
Government of India"
monoculture-plantation-in-araucania-chile,"National Forestry Corporation , Agriculture and Livestock Service , General Water Office "
contaminacion-en-el-lago-de-maracaibo-venezuela,"Ministerio de Energía y Petróleo
Ministerio de Ecosocialismo y Aguas
Presidencia de la República
Asamblea Nacional"
ain-dara-qnd-the-cement-factory,"Ministry of Environment 
Ministry of Industry
Fattouch construction company"
mineria-en-tamesis-colombia,"Secretaria de Minas de Antioquia.
Corporación Autónoma de Antioquia (Corantioquia).
Ministerio de Minas y Energía.                                                                                          Agencia Nacional de Licencias Ambientales.
Gobernación de Antioquia, Ministerio de Minas y Energía."
energy-ecological-economics-nuclear-power-plant-in-le-carnet,The Council of State which gave a favourable opinion to the project in spite of the dominant opposition caused the resignation of the municipal councils of Pellerin and Cheix.
tribu-yaqui-contra-el-gasoducto-gasoducto-guaymas-el-oro-sonora-mexico,"-Secretaría de Energía (SE)
-Subsecretaría de Hidrocarburos y la Dirección General Adjunta de Evaluación de Impacto Social y Consulta, ambas dependientes de la SE 
-Comisión Federal de Electricidad (CFE)
-Gobierno del Estado de Sonora
-Secretaría de Medio Ambiente y Recursos Naturales (Semarnat)
-Gobierno Federal"
pt-lonsum-conflict-sumatra,
erdenetsagaan-without-mining-eastern-mongolia,"Erdenetsagaan’s provincial government,
Minister of Mining Industry."
no-solo-es-agua-tambien-es-polvo-la-degradacion-del-lago-de-cuitzeo-y-la-lucha-por-la-salud,Instituto Municipal de Planeación Morelia (IMPLAN); Secretaría de Medio Ambiente Cambio Climático y Desarrollo Territorial (SEMACCDET); Ayuntamiento de Cuitzeo del Porvenir;  Gobierno del Estado de Michoacán
est-for-invests-paper-mill-at-the-emajogi-river,"Ministry of Finance
Ministry of Public Administration
City of Tartu), strongly against the project (6)."
cerro-el-alguacil-inarwa-colombia,"Presidencia de La Republica, Ministerio de Interior, Ministerio de Ambiente y Desarrollo Sostenible, Parques Nacionales Naturales de Colombia, Gobernacion del Cesar, Alcaldia de Valledupar, Ejercito Nacional de Colombia, Superintendencia de Notariado y Registro, Incora "
proyecto-de-presa-en-el-rio-cuira-sistema-tuy-iv-venezuela,"Ministerio del Poder Popular para  Ecosocialismo y Aguas
Hidrologica de la Región Capital 
Ministerio del Poder Popular para la Vivienda y Habitat
Ministerio del Poder Popular para la Agricultura y Tierra
Instituto Nacional de Tierras
Asamblea Nacional Legislativa
Defensoría del Pueblo 
Consejos Comunales del Cuira
Alcaldía de Acevedo
Gobernación de Miranda
Corporación de Desarrollo Integral de Miranda"
tularosa-basin-downwinders,
air-france-wwf-goodplanet-holistic-conservation-program-madagascar,"Ministry for Environment and Forests, and its regional agencies,   Decentralized Territorial Collectivities (CTD),  Decentralized Technical Services (STD)"
komo-airport,"Government of Papua New Guinea
Hela Province
National Disaster Centre (NDC)"
pascua-lama-mine-argentina,"Argentine government, Chilean government, Chilean judicial authorities (Superintendencia de Medio Ambiente)"
rio-tintos-rossing-uranium-mine-namibia,
yacyreta-dam-on-the-parana-river-argentina,"Government of Argentina, Government of Paraguay"
desertificacion-de-lago-poopo-en-oruro-bolivia,"Gobierno Central 
Gobierno Departamental de Oruro 
Gobierno Municipal de Untavi"
kaolin-pipeline-on-quilombo-land-in-moju-para-brazil,"Ministerio Publico Federal - MPF, Ministerio Publico do Estado do Para - MPE/PA"
eucalyptus-producer-portucel-group-mozambique,"Ministry of Agriculture, Ministry of Environment, Ministry of Energy"
tembember,"Federal Public Ministry (MPF); Ceará’s Federal Court
Local Government of Itapipoca; Ceará’s State Government (mostly COEMA and SEMACE); Fundação Nacional do Índio (FUNAI)"
amboseli-national-park-downgrading-to-a-game-reserve-kenya,"Office of the President;, Kenya Wildlife Service;, Ministry of Tourism and Wildlife"
